Date,Open,Close,High,Low,Volume
2016-05-03,75.96,75.91,76.27,75.43,8018160
2016-05-04,75.64,75.82,75.91,75.01,14315359
2016-05-05,79.52,78.83,79.94,78.10,27950651
2016-05-06,78.35,79.20,79.72,78.25,12858454
2016-05-09,78.94,79.41,79.98,78.89,11795308
2016-05-10,79.79,79.72,79.98,79.15,9318849
2016-05-11,79.43,79.80,80.49,79.41,11071496
2016-05-12,80.01,79.16,80.45,78.32,8791051
2016-05-13,78.83,77.16,79.16,76.97,10074849
2016-05-16,77.86,79.29,79.93,77.59,11660032
2016-05-17,79.83,79.35,80.20,79.31,10970576
2016-05-18,78.71,79.03,80.00,78.47,9084812
2016-05-19,78.65,78.32,79.26,77.60,8317350
2016-05-20,79.07,78.79,79.45,78.35,11043622
2016-05-23,78.95,79.00,79.50,78.60,7187006
2016-05-24,79.17,81.12,81.31,79.07,16702130
2016-05-25,78.53,75.59,79.20,74.12,49666287
2016-05-26,76.99,78.35,78.86,76.80,26964310
2016-05-27,78.49,80.97,81.00,78.39,24549599
2016-05-31,81.00,82.00,82.03,80.20,78831973
2016-06-01,79.15,76.69,80.14,76.55,62511763
2016-06-02,76.65,77.30,77.75,76.56,45377289
2016-06-03,77.24,76.62,77.80,75.71,23683856
2016-06-06,77.11,78.06,78.33,76.70,19165856
2016-06-07,78.19,77.84,78.37,77.32,12876692
2016-06-08,78.00,77.64,78.53,77.38,11610545
2016-06-09,77.39,77.56,78.07,76.78,8993749
2016-06-10,76.43,75.92,77.05,75.76,10420194
2016-06-13,75.25,75.45,76.46,74.85,11296597
2016-06-14,76.89,77.77,78.45,76.75,22356092
2016-06-15,78.31,78.39,78.77,77.51,14732924
2016-06-16,77.84,78.27,78.40,76.20,13569178
2016-06-17,78.45,77.00,78.45,76.48,15581950
2016-06-20,77.90,78.15,78.79,77.84,9621248
2016-06-21,78.75,78.62,79.08,78.40,8880760
2016-06-22,79.04,78.73,79.12,78.21,8170465
2016-06-23,79.16,79.14,79.46,78.55,8271728
2016-06-24,76.83,76.29,77.50,75.43,18223939
2016-06-27,75.80,74.23,76.29,73.30,15240323
2016-06-28,75.50,76.28,76.60,75.50,11263981
2016-06-29,76.98,78.04,78.48,76.90,11458248
2016-06-30,78.31,79.53,79.76,78.28,12484688
2016-07-01,79.12,79.65,80.05,79.12,7270759
2016-07-05,79.04,78.97,79.55,78.37,6843947
2016-07-06,78.47,78.64,78.82,77.68,7737637
2016-07-07,79.00,79.35,79.49,78.71,6817894
2016-07-08,78.44,78.99,79.35,77.80,14028975
2016-07-11,79.33,81.46,81.90,79.24,17416125
2016-07-12,81.79,81.74,82.88,81.51,15293895
2016-07-13,81.83,80.57,81.88,80.37,10733263
